
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 15:20:08.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
  33.80    8.981    9.046    9.046   -1.080    0.052   -2.419   -1.080    0.052   -0.126    2.612   -0.056    3.510    1.308
  33.90    8.986    9.009    9.039   -0.649    0.725   -2.414   -0.649    0.725   -1.750    1.567   -0.471    3.387    1.198
  34.00    9.240    9.302    9.304   -1.067    0.215   -2.160   -1.067    0.215   -0.464    2.304   -0.229    2.924    1.181
  34.10    9.424    9.454    9.458   -0.753    0.277   -1.976   -0.753    0.277   -0.547    1.489   -0.209    2.275    0.800
  34.20    9.254    9.272    9.295   -0.579    0.653   -2.146   -0.579    0.653   -1.401    1.242   -0.378    2.684    0.955
  34.30    9.194    9.237    9.254   -0.896    0.562   -2.206   -0.896    0.562   -1.239    1.976   -0.503    2.993    1.193
  34.40    8.749    8.755    8.763    0.324   -0.367   -2.651    0.324   -0.367    0.973   -0.859   -0.119    3.634    0.652
  34.50    8.530    8.530    8.542   -0.013   -0.452   -2.870   -0.013   -0.452    1.297    0.039    0.006    4.221    0.649
  34.60    9.131    9.131    9.138    0.039   -0.354   -2.269    0.039   -0.354    0.803   -0.088   -0.014    2.638    0.404
  34.70    8.582    8.603    8.607   -0.603   -0.260   -2.818   -0.603   -0.260    0.734    1.700    0.157    4.187    0.929
  34.80    8.135    8.214    8.214   -1.137    0.077   -3.265   -1.137    0.077   -0.252    3.714   -0.088    5.981    1.862
  34.90    7.746    7.834    7.834   -1.174   -0.007   -3.654   -1.174   -0.007    0.025    4.288    0.008    7.366    2.144
  35.00    6.928    6.948    6.955   -0.528   -0.315   -4.472   -0.528   -0.315    1.407    2.363    0.166   10.190    1.378
  35.10    6.858    6.886    6.890   -0.624   -0.232   -4.542   -0.624   -0.232    1.055    2.836    0.145   10.539    1.514
  35.20    6.548    6.667    6.668   -1.255    0.079   -4.852   -1.255    0.079   -0.381    6.091   -0.099   12.563    3.052
  35.30    5.965    6.004    6.008   -0.680    0.231   -5.435   -0.680    0.231   -1.254    3.694   -0.157   15.026    1.952
  35.40    5.747    5.754    5.815   -0.298    0.836   -5.653   -0.298    0.836   -4.728    1.684   -0.249   16.374    2.513
  35.50    6.115    6.153    6.320   -0.684    1.444   -5.285   -0.684    1.444   -7.629    3.617   -0.988   15.242    4.251
  35.60    6.537    6.611    6.907   -0.989    1.999   -4.863   -0.989    1.999   -9.722    4.811   -1.977   14.313    5.513
  35.70    6.106    6.175    6.284   -0.922    1.163   -5.294   -0.922    1.163   -6.159    4.880   -1.072   15.115    3.965
  35.80    5.685    5.845    5.918   -1.357    0.928   -5.715   -1.357    0.928   -5.303    7.755   -1.259   17.682    4.739
