
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:34:45.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   8.40   15.405   15.648   15.972    2.747    3.201    0.405    2.747    3.201    1.295    1.111    8.793    8.977    4.478
   8.50   15.152   15.275   15.823    1.933    4.130    0.152    1.933    4.130    0.627    0.294    7.985   10.409    4.008
   8.60   15.776   15.893   16.322    1.932    3.717    0.776    1.932    3.717    2.883    1.498    7.183    9.077    3.942
   8.70   16.209   16.265   16.627    1.351    3.452    1.209    1.351    3.452    4.173    1.633    4.662    7.601    3.233
   8.80   16.102   16.151   16.533    1.258    3.534    1.102    1.258    3.534    3.894    1.386    4.447    7.644    3.036
   8.90   16.277   16.284   16.591    0.470    3.181    1.277    0.470    3.181    4.062    0.600    1.495    5.985    2.185
   9.00   15.800   15.802   16.117    0.223    3.175    0.800    0.223    3.175    2.540    0.179    0.710    5.386    1.322
   9.10   15.459   15.497   15.784    1.087    2.995    0.459    1.087    2.995    1.376    0.499    3.256    5.181    1.785
   9.20   15.026   15.124   15.284    1.713    2.205    0.026    1.713    2.205    0.058    0.045    3.777    3.898    1.889
   9.30   13.876   13.885   14.131    0.509    2.622   -1.124    0.509    2.622   -2.948   -0.573    1.336    4.200    1.644
   9.40   13.594   13.615   13.701    0.768    1.527   -1.406    0.768    1.527   -2.147   -1.079    1.172    2.449    1.337
   9.50   13.696   13.712   13.767    0.664    1.230   -1.304    0.664    1.230   -1.604   -0.866    0.816    1.827    0.999
   9.60   13.116   13.125   13.147   -0.495    0.769   -1.884   -0.495    0.769   -1.449    0.933   -0.381    2.194    0.883
   9.70   13.496   13.528   13.621   -0.936    1.585   -1.504   -0.936    1.585   -2.384    1.407   -1.483    2.825    1.571
   9.80   13.695   13.699   13.706   -0.358    0.423   -1.305   -0.358    0.423   -0.552    0.468   -0.151    1.005    0.369
   9.90   13.431   13.497   13.507   -1.327    0.534   -1.569   -1.327    0.534   -0.838    2.081   -0.709    2.253    1.176
  10.00   13.132   13.169   13.169   -0.982    0.090   -1.868   -0.982    0.090   -0.169    1.834   -0.089    2.231    0.922
  10.10   13.180   13.301   13.302   -1.787    0.132   -1.820   -1.787    0.132   -0.240    3.252   -0.235    3.261    1.635
  10.20   12.965   12.996   12.996   -0.904   -0.018   -2.035   -0.904   -0.018    0.036    1.840    0.016    2.480    0.920
  10.30   11.997   12.013   12.016   -0.633   -0.239   -3.003   -0.633   -0.239    0.718    1.900    0.151    4.739    1.019
  10.40   12.023   12.082   12.090   -1.187   -0.435   -2.977   -1.187   -0.435    1.296    3.534    0.517    5.229    1.900
  10.50   11.730   11.819   11.831   -1.447    0.540   -3.270   -1.447    0.540   -1.765    4.730   -0.781    6.538    2.555
  10.60   12.719   12.776   12.785   -1.203    0.470   -2.281   -1.203    0.470   -1.071    2.743   -0.565    3.434    1.499
  10.70   12.585   12.588   12.588    0.288    0.065   -2.415    0.288    0.065   -0.158   -0.695    0.019    2.960    0.357
  10.80   13.604   13.608   13.608    0.335    0.010   -1.396    0.335    0.010   -0.014   -0.468    0.003    1.031    0.234
  10.90   14.136   14.137   14.147    0.174    0.546   -0.864    0.174    0.546   -0.472   -0.150    0.095    0.537    0.252
  11.00   14.522   14.526   14.538   -0.336    0.602   -0.478   -0.336    0.602   -0.288    0.160   -0.202    0.352    0.193
  11.10   15.083   15.084   15.093   -0.231    0.514    0.083   -0.231    0.514    0.042   -0.019   -0.119    0.162    0.064
